,number,title
1,357,Jupiter engine does not invoke 'afters' if exception is thrown by test or 'befores'
7,1896,Custom URLClassLoader is not closed
16,1603,@DisabledOnOs does not work on Solaris
26,1438,JupiterTestEngine should log discovery errors instead of aborting the entire test plan
28,1592,JUnit Jupiter Assumptions do not work in @BeforeAll methods
48,253,Apply InstancePostProcessor extensions for every test instance
57,1642,Do not throw NPE in assertLinesMatch() if actualLine is null
87,1547,Ship picocli license with junit-platform-console
113,1510,DiscoverySelector implementations are missing custom equals() and hashCode()
121,1286,"Make dependency on ""javax.script"" optional"
132,1506,"ClassSource implementation is broken regarding equals(), hashCode(), and precondition"
140,2003,Some published artifacts contain module-info.class instead of module-info.java
141,402,Failure in container does not fail build with JUnit Gradle plugin
148,1044,Remove Class-Path attribute from standalone JAR manifest
149,1414,Change to assertThrows in #1394 makes some existing call sites ambiguous
154,639,Make Gradle incremental build work
166,1697,@ResourceLock should be usable on test templates
175,971,Static @BeforeEach method causes entire test plan to abort
218,1567,TestInstanceFactory on enclosing class is not called for @Nested test class
244,208,Extensions registered within test class hierarchy are ordered bottom-up instead of top-down
246,658,AssertionFailedError interrupts test tree in Console and Gradle
250,1727,@RegisterExtension field is silently ignored if null at evaluation time
258,2222,"Broken Link in User Guide, Example Projects"
261,766,Rename methods in TestTemplateInvocationContextProvider
264,1265,Vintage Engine mistakenly executes test methods for non-included/excluded tags
287,398,Cannot build JUnit 5 on Microsoft Windows
290,1859,Overloaded assertions fail for Kotlin
293,727,Properly decode jar file URI with spaces in its path
296,2408,Evaluate argument length only when argument is not null
305,1048,Implementation of AbstractExtensionContext#getRoot is wrong
306,91,Assertions.assertAll() should not wrap checked exceptions
310,634,Add details parsing fix and tests.
312,264,DefaultLauncher should require a non-empty list of engines
319,1225,CDATA end marker in exception message of failed test must not break XML output
331,376,Update MockitoExtension example in User Guide
333,726,Bug report: Exception thrown when building :junit-jupiter-engine on Windows 7
340,819,Class loading by name is not supported for multidimensional arrays
347,730,TestTemplate methods detection is missing
359,272,Overhaul exception handling in MethodFinder
375,1531,Missing vertical bars in console tree
381,659,Vintage engine does not report multiple errors collected by ErrorCollector
385,2171,TempDir fails to cleanup if directory was made read-only
394,1566,Nested PER_METHOD inside PER_CLASS should call TestInstanceFactory for enclosing class
426,474,Classpath scanning eagerly loads classes unnecessarily
427,2075,"Fix using enforcedPlatform(""org.junit:junit-bom:5.6.0-M1"")"
439,136,junit4-runner: When skipping a container all leaves must be reported as ignored
445,589,Unable to discover 2 methods in the same class
451,2405,Argument truncation breaks parameterized test with parameter having null toString
500,1792,JMockit teardown no longer works as before
518,1511,Parallel execution and @TestInstance(PER_CLASS) result in concurrency issues for instance fields mutated in test and lifecycle methods
525,2106,[ReflectionUtils] Use class' classloader to load method params
535,1546,Kotlin extension function ArgumentsAccessor.getAs cannot be imported
557,1478,Fix broken tests in DefaultParallelExecutionConfigurationStrategyTests
558,1182,Wrong name and class name in XML report for parameterized tests
566,1643,"When using parallel execution, Callback methods/extensions should be called after all dynamic tests of a @TestFactory method are finished"
577,252,Apply InstancePostProcessor extensions for every test instance
583,1710,Overloaded assertions should work from Groovy
590,478,ExtensionContext.Store is not thread-safe
600,1069,ExpectedExceptionSupport causes exceptions to be silently ignored
609,1252,Ensure test classes cannot be private
617,1897,Close custom URLClassLoader
621,998,Fix thread-safety issue in ExtensionValuesStore
637,2249,Detecting cycles in inner class hierarchies throws exceptions even for classes not marked as @Nested
656,1432,Investigate warning printed when compiling Kotlin code
662,465,Tests in default package do not get picked up via classpath scanning
666,1648,Wait for dynamic tests before finishing test factory
684,2033,Module org.junit.platform.launcher does not read module java.logging
686,598,Prevent Java 9 on Travis CI from failing
690,1865,"Executing pretty small number of dynamic tests (with ""large"" Executable) results in OutOfMemoryError"
697,1234,Setting launcher main class name to an empty string breaks test execution on Linux
704,625,@TestFactory methods should evaluate ContainerExecutionCondition extensions instead of TestExecutionCondition extensions
737,1019,JUnit Platform Surefire Provider does not distinguish between failure and error
746,1367,Surefire can't find class `org.apache.maven.plugin.surefire.log.api.ConsoleLogger`
751,799,AsciiDoctor task does not support Rouge on MS Windows
755,776,Do not execute abstract tests in VintageTestEngine
760,351,TravisCI can't execute even assemble when org.junit.platform.gradle.plugin is attached
762,701,Console standalone jar does not come alone
773,1605,PR: Fix Solaris OS detection for @[Enabled|Disabled]OnOs
779,2357,Report disabled TestTemplate methods to TestWatchers
810,486,DynamicTest.stream does not support checked exceptions
820,2438,junit-platform-commons 1.7.0 does not contain MANIFEST.MF as first JAR entry
822,2316,Always call pre-destroy callbacks if instance was created
825,1490,"Kotlin extension function ArgumentsAccessor.get<T> is unusable, i.e.compiled to private"
826,1185,Introduce Details.SUMMARY and mute output in mode NONE
840,1404,Dependency Diagram not rendered in User Guide
866,384,JUnit Platform Surefire provider ignores purely dynamic test classes
899,2455,ExtensionContext.Store#getOrComputeIfAbsent invokes the defaultCreator twice if the defaultCreator throws an exception
907,1296,Null elements (excepts the first one) in @CsvSource are interpreted as empty elements
927,516,Cannot select default method by fully qualified method name
940,1690,junit-platform-suite-api should not have a dependency on junit-platform-commons
953,2004,JupiterTestEngine crashes if JUnit 4 is on the classpath but Hamcrest is not
974,1501,Use correct class for method-based test descriptors
981,2157,Assertions.assertIterableEquals overflows the stack
982,556,Configure Eclipse plugin to include JOpt Simple in generated .classpath file
988,385,Fix Surefire plugin group ID in User Guide
1004,1686,Concurrency issue with resolving parameters in test methods using the SpringExtension
1017,1956,Fix discovery of inherited nested classes
1034,1491,Memory issues with concurrent ParameterizedTest
1052,1096,JUnit 5 does not report test when run with maven surefire and console logging is enabled
1083,1741,Issues/1710 groovy assertions fixes
1089,429,Eliminate NPE when TestEngine's discovery() method returns null
1092,1487,Build broken on 11-ea+20
1115,1673,Navigating to search results broken in snapshots Javadocs
1117,1366,Tag Expressions with spaces do not work with Surefire provider
1122,2264,Fix selecting Spock methods via MethodSelector
1123,1018,Fix selection of method from JUnit 4 parameterized test
1143,366,JUnitPlatformTestTree does not add dynamic containers to test plan
1149,1777,Exception thrown from TestExecutionListener fails the test plan
1159,1665,Cannot provide multidimensional array as argument with @MethodSource
1162,2049,Doubly nested test class is not usable with EventConditions#nestedContainer in Test Kit
1175,576,Gradle plugin JUnitPlatformExtension.platformVersion should default to plugin version
1177,825,MethodSelector returns null for parameter types
1181,599,Regression: assertThrows should not use wildcard for expected exception type
1187,1130,Maven surefire provider NPE w/ the Spek TestEngine
1192,2209,TestInstancePreDestroyCallback does not follow the wrapping behavior of callbacks in lifecycle PER_CLASS
1195,872,ParameterResolutionException when non-String arguments are used
1196,171,JUnit 4 interoperability
1203,937,Spock tests with @Unroll are not supported by Vintage engine
1206,1576,Regression: assertThrows() ThrowingSupplier variants break existing code
1227,2248,"Execution of Vintage Tests fail with ""displayName must not be null or blank"""
1231,833,ParameterizedTestParameterResolver conflicts with parameterized @BeforeEach
1239,976,ReflectionUtils considers locally overloaded default methods as overridden
1248,631,Task inputs for junitPlatformTest are broken
1251,148,Surefire report displays wrong test count
1258,2288,Incorrect Javadoc in BeforeTestExecutionCallback
1274,1148,JUnit 4 Migration Support incorrectly registers JupiterTestEngine via ServiceLoader
1283,2158,Fix stack overflow error in assertIterableEquals
1290,298,BUG: Post Discovery Filtering fails when an engine has no test descriptor to filter from
1301,1666,Exception thrown by a static @RegisterExtension field is swallowed
1303,1236,Fixes for XML reporting
1309,349,Store.getOrComputeIfAbsent() shadows values from parent store
1311,719,Fix regression for class hierarchies without synthetic methods
1319,1758,@Execution and @ResourceLock should be @Inherited annotations
1329,1563,AssertThrows curiosity when supplier should return a Stream (in Eclipse)
1331,1133,Treat non-inherited composed annotations for inherited annotations as inherited
1337,488,java.lang.ClassCastException: sun.nio.fs.WindowsPath cannot be cast to java.io.File
1345,1430,Fix determineFullyQualifiedClassName() when ZipPath.relativize() returns paths like ../foo
1348,308,Gradle plugin must not disable TestNG tests
1351,1125,Classpath is too long 206 error
1356,888,URL encode reserved characters in UniqueId segment strings
1358,1719,Use fully-qualified class name as legacy reporting name for Vintage tests
1383,514,DisabledCondition fails to unwrap Optional element when generating reason
