,number
7,1896
8,2243
9,642
11,1746
12,838
13,1316
16,1603
17,1253
18,1087
19,1984
21,750
23,2214
24,615
26,1438
28,1592
30,496
31,1341
32,1711
33,1204
35,1654
38,479
39,2078
40,316
41,1838
42,746
45,1091
46,1584
47,48
49,603
51,1707
55,2081
56,195
57,1642
59,1212
60,1496
61,711
66,1880
69,1183
71,1300
72,1750
73,984
74,1245
75,1615
76,592
77,2193
79,2039
84,1402
87,1547
88,1117
90,1814
91,910
92,1394
93,2412
97,506
98,2107
100,1681
101,1005
103,1455
108,678
110,697
112,1140
113,1510
118,947
119,1269
120,1793
121,1286
129,1443
131,1013
132,1506
134,2280
135,681
136,1855
137,1785
138,951
140,2003
143,2146
144,547
145,814
149,1414
151,793
153,1947
156,1802
158,1101
159,1551
161,2404
163,1382
166,1697
169,510
172,2166
175,971
176,588
177,2189
178,2473
179,2023
183,1875
184,1930
185,1463
186,1199
187,1033
188,863
189,2131
192,2074
193,475
195,1658
196,1208
200,1121
201,1571
206,1967
208,2218
211,2127
213,930
217,2062
218,1567
219,1137
223,1072
225,1588
228,571
230,121
233,2465
234,1619
237,1863
238,1160
239,1530
240,1025
241,13
242,1475
243,1926
245,2259
246,658
247,1662
249,1232
250,1727
251,1377
254,2388
255,789
261,766
264,1265
265,1635
269,1320
274,1459
275,1009
276,731
277,2330
279,1623
282,1766
283,818
284,1336
288,2263
289,662
290,1859
293,727
294,1224
295,1674
296,2408
299,1361
300,1731
302,635
304,1418
305,1048
307,2371
308,770
310,634
311,2235
313,1419
315,90
316,771
319,1225
325,1730
328,399
329,663
332,1858
333,726
334,2327
335,1622
336,1272
337,1788
338,1767
339,1337
340,819
341,2274
344,1458
346,2331
347,730
349,1264
350,1634
352,419
355,1771
357,788
358,2389
361,622
362,1819
364,2366
365,767
367,1663
368,1399
369,1233
370,1726
371,858
372,1376
373,1862
374,1161
375,1531
376,1024
377,12
381,659
382,2258
383,989
385,2171
388,2034
389,435
391,1618
392,1248
394,1566
396,1835
397,1970
398,1423
401,1589
404,527
406,931
409,2063
410,462
411,1823
413,1120
414,1570
416,1065
417,1435
418,1966
420,2219
421,618
423,531
426,474
428,2425
429,1659
434,1874
435,1931
438,1032
441,2167
442,835
443,970
444,2188
445,589
448,2022
449,454
451,2405
452,1679
453,1383
454,907
455,1229
456,1696
458,511
459,2110
464,792
465,2393
466,1946
468,2239
470,1803
471,287
472,1100
473,1550
474,1784
476,2452
478,2002
480,546
482,815
485,1911
486,1442
491,680
492,2281
493,1854
494,2014
495,415
496,2444
497,1638
498,1268
500,1792
501,1287
504,550
506,1004
508,1454
510,1907
512,679
513,2278
514,1842
517,1141
518,1511
519,911
520,1395
522,2043
523,442
524,157
525,2106
528,1680
529,1950
533,1053
535,1546
538,1815
544,2192
545,593
548,2038
551,710
553,2254
557,1478
558,1182
560,1706
561,878
562,1356
563,2080
566,1643
567,897
568,1213
569,1839
571,2346
572,747
573,1993
575,1585
579,602
580,497
581,2096
582,1340
583,1710
584,1205
587,2429
589,2079
590,478
592,1985
593,751
595,301
596,614
599,1439
600,1069
601,1593
603,1747
605,839
606,585
607,2184
608,1602
609,1252
614,1481
615,1194
617,1897
618,643
621,998
624,561
626,2025
628,1259
629,977
630,1609
632,1520
633,1170
634,1465
635,1035
636,648
637,2249
640,2137
642,166
643,865
647,473
648,2422
650,1577
651,1824
652,1961
655,1598
656,1432
659,520
660,2121
