,number
0,1879
1,357
4,1480
7,1896
9,642
11,1746
12,838
15,584
16,1603
18,1087
19,1984
22,300
23,2214
26,1438
27,1068
28,1592
30,496
33,1204
34,880
35,1654
36,2428
37,183
39,2078
40,316
41,1838
44,1992
45,1091
46,1584
47,48
48,253
49,603
51,1707
54,480
55,2081
57,1642
59,1212
60,1496
61,711
66,1880
69,1183
72,1750
73,984
74,1245
75,1615
76,592
79,2039
80,438
81,1951
84,1402
87,1547
88,1117
90,1814
91,910
92,1394
93,2412
97,506
101,1005
103,1455
106,382
108,678
110,697
113,1510
118,947
119,1269
120,1793
121,1286
132,1506
135,681
136,1855
137,1785
140,2003
141,402
143,2146
144,547
145,814
148,1044
149,1414
151,793
152,269
153,1947
154,639
157,286
158,1101
162,1678
163,1382
166,1697
167,843
168,2111
169,510
170,140
171,137
172,2166
174,834
175,971
176,588
178,2473
179,2023
183,1875
184,1930
185,1463
186,1199
187,1033
188,863
189,2131
192,2074
193,475
195,1658
196,1208
199,1988
204,1434
213,930
218,1567
219,1137
224,44
225,1588
228,571
230,121
232,2035
233,2465
235,967
239,1530
240,1025
241,13
242,1475
244,208
245,2259
246,658
247,1662
249,1232
250,1727
256,273
258,2222
259,336
261,766
264,1265
265,1635
267,2019
270,1770
271,674
274,1459
275,1009
276,731
278,361
279,1623
282,1766
283,818
287,398
289,662
290,1859
293,727
294,1224
295,1674
296,2408
300,1731
303,265
304,1418
305,1048
306,91
307,2371
308,770
310,634
312,264
313,1419
315,90
317,2370
318,321
319,1225
323,458
327,233
328,399
329,663
331,376
333,726
335,1622
336,1272
337,1788
338,1767
340,819
341,2274
344,1458
346,2331
347,730
348,360
350,1634
352,419
355,1771
357,788
358,2389
359,272
360,2223
363,337
364,2366
365,767
366,86
367,1663
368,1399
370,1726
371,858
372,1376
373,1862
374,1161
375,1531
381,659
382,2258
383,989
385,2171
386,570
388,2034
391,1618
392,1248
394,1566
396,1835
397,1970
398,1423
399,1073
401,1589
406,931
407,2433
410,462
411,1823
416,1065
417,1435
419,248
426,474
427,2075
428,2425
429,1659
435,1931
436,1462
437,1198
438,1032
439,136
441,2167
443,970
444,2188
445,589
447,423
450,2055
451,2405
452,1679
453,1383
454,907
458,511
460,141
462,1045
467,268
468,2239
470,1803
474,1784
476,2452
479,116
480,546
482,815
484,395
485,1911
486,1442
488,1012
491,680
492,2281
493,1854
494,2014
497,1638
500,1792
501,1287
504,550
506,1004
508,1454
512,679
513,2278
514,1842
517,1141
518,1511
519,911
520,1395
522,2043
524,157
525,2106
529,1950
530,2385
533,1053
535,1546
537,291
545,593
547,439
551,710
552,340
553,2254
554,655
557,1478
558,1182
559,1028
561,878
562,1356
563,2080
564,481
566,1643
568,1213
569,1839
570,317
571,2346
572,747
573,1993
575,1585
577,252
578,2203
579,602
580,497
581,2096
582,1340
583,1710
587,2429
589,2079
590,478
591,1086
592,1985
593,751
595,301
596,614
597,2215
599,1439
600,1069
604,1317
605,839
606,585
607,2184
608,1602
609,1252
613,2307
615,1194
617,1897
618,643
620,832
621,998
622,131
624,561
628,1259
629,977
630,1609
632,1520
633,1170
634,1465
637,2249
639,1936
640,2137
647,473
650,1577
651,1824
652,1961
656,1432
661,2434
662,465
664,936
665,1218
666,1648
669,1561
672,1074
675,609
679,2176
681,824
683,432
684,2033
686,598
688,1166
689,1536
690,1865
691,1920
696,1664
697,1234
698,2048
702,1371
704,625
709,330
710,760
713,1799
714,1633
715,1326
716,808
723,737
724,2336
726,1849
727,1625
732,1760
736,664
737,1019
738,1449
739,371
743,1672
744,1388
746,1367
748,78
750,633
751,799
755,776
757,326
758,97
760,351
761,2300
762,701
766,1890
769,1193
770,1740
773,1605
774,1255
777,2183
779,2357
782,1828
784,1081
785,1594
786,58
787,2212
792,1717
794,490
797,1652
800,310
802,740
804,255
807,1078
809,1428
810,486
812,1701
815,1644
820,2438
822,2316
823,347
824,1869
825,1490
826,1185
827,19
828,1886
834,982
836,594
837,2195
838,1243
839,1613
840,1404
841,1054
847,1957
848,279
849,296
851,1541
858,1668
859,1392
861,853
862,150
863,500
866,384
867,1003
869,1453
870,1146
871,1516
872,691
873,2290
883,1280
886,1445
888,1015
889,392
891,2269
894,1853
899,2455
900,2005
902,1279
904,1783
907,1296
909,2140
910,541
912,2394
913,795
914,74
915,1042
916,1412
917,1107
920,280
921,1384
924,453
925,2402
927,516
928,146
930,1691
932,901
933,452
934,2053
940,1690
942,794
944,75
948,1556
949,1805
952,405
953,2004
954,956
958,813
960,110
961,540
963,1444
971,1852
973,2287
974,1501
975,1151
976,1794
978,2012
979,413
981,2157
982,556
983,106
985,1281
987,1901
988,385
992,1147
993,1517
994,2291
995,690
998,2045
1003,1393
1004,1686
1005,852
1009,1405
1013,2229
1015,782
1017,1956
1021,1110
1024,983
1025,1757
1026,2194
1029,1612
1030,2317
1031,716
1033,346
1034,1491
1035,1184
1036,18
1038,2252
1046,1645
1048,192
1049,468
1052,1096
1054,1995
1059,604
1062,1429
1068,184
1069,1203
1070,1653
1072,757
1073,2356
1075,307
1077,1080
1078,1595
1082,242
1083,1741
1086,1604
1087,1254
1088,2028
1089,429
1090,583
1091,2182
1092,1487
1093,350
1095,2301
1101,1468
1102,1192
1105,2233
1109,777
1112,1809
1113,96
1114,1223
1115,1673
1116,1389
1117,1366
1122,2264
1123,1018
1124,1448
1128,1624
1131,409
1133,1761
1134,1331
1137,2272
1141,736
1142,1848
1143,366
1146,1632
1147,809
1149,1777
1150,274
1153,1059
1155,80
1156,331
1159,1665
1160,1235
1161,448
1162,2049
1164,1720
1165,1370
1167,1537
1168,1864
1170,1022
1171,14
1172,1472
1175,576
1177,825
1179,2032
1181,599
1182,2198
1184,1999
1186,1560
1187,1130
1188,1425
1192,2209
1193,258
1195,872
1196,171
1199,2435
1200,2065
1201,464
1203,937
1205,1126
1206,1576
1207,1825
1209,55
1212,1433
1213,537
1214,2136
1215,167
1216,864
1218,188
1220,2073
1222,1872
1223,1521
1227,2248
1228,649
1229,1937
1231,833
1234,560
1235,2161
1237,425
1239,976
1240,1258
1241,1608
1243,95
1244,1109
1246,2375
1248,631
1250,261
1251,148
1252,2119
1254,1365
1257,1670
1258,2288
1261,723
1262,2322
1263,236
1267,1762
1269,1332
1274,1148
1275,2334
1276,735
1278,2271
1281,109
1282,559
1283,2158
1289,332
1290,298
1294,1959
1296,2226
1301,1666
1303,1236
1304,17
1306,1471
1308,1888
1309,349
1311,719
1315,2031
1316,430
1317,2461
1319,1758
1322,2174
1323,575
1326,1426
1328,1076
1329,1563
1331,1133
1336,467
1337,488
1340,2123
1342,871
1345,1430
1346,1963
1347,1826
1348,308
1351,1125
1356,888
1358,1719
1360,1349
1361,534
1364,1934
1365,1467
1369,1488
1371,975
1376,563
1379,1739
1381,1369
1382,1693
1383,514
1386,451
1389,1386
1390,902
1393,282
1394,2379
1397,99
1399,1040
1400,76
1401,1410
1403,797
1404,2396
1405,113
1408,810
1410,955
1411,1781
1413,406
1415,1502
1417,1851
1419,2284
1420,390
1421,1914
1422,1447
1423,1017
1425,1778
1433,2011
1434,410
1436,1797
1438,2292
1440,369
1443,2338
1444,1144
1447,1001
1448,1451
1449,1902
1451,152
1453,502
1454,1685
1455,851
1456,914
1458,2416
1459,2046
1460,447
1461,1543
1462,1113
1463,294
1464,1810
1466,781
1468,1406
1470,1056
1471,1241
1472,1611
1473,2197
1475,129
1476,579
1479,980
1480,1754
1482,2251
1485,1187
1486,1538
1487,1168
1488,1492
1489,2314
1490,715
1494,1646
1495,938
1496,1216
1497,1703
1500,484
1503,257
1505,607
1506,312
1509,742
1510,1095
1512,1650
1513,884
1514,187
1517,168
1519,538
1520,1345
1525,1596
1527,1083
1530,2355
1532,304
1534,2181
1535,1607
1536,1257
1538,1742
1539,996
1541,1191
1551,1190
1555,647
1556,1893
1557,352
1559,702
1560,1485
1562,581
1563,1606
1564,978
1567,997
1568,1313
1569,2211
1572,1597
1573,1578
1575,1128
1581,1651
1583,186
1585,493
1586,169
1588,2138
1590,1714
1591,1581
1595,2207
1596,313
1598,743
1599,2342
1603,1647
1605,939
1610,1885
1611,651
1612,2250
1613,201
1615,1539
1617,1493
1621,1240
1622,1610
1623,597
1627,578
1628,1305
1629,981
1631,1542
1633,295
1634,1811
1635,780
1637,1954
1638,1407
1641,153
1644,1684
1645,850
1647,1391
1650,2047
1651,692
1652,2293
1657,1145
1658,1515
1660,1000
1661,1450
1663,387
1669,554
1671,104
1672,411
1674,2440
1676,942
1678,1153
1679,1850
1680,2285
1681,684
1686,20
1689,542
1692,954
1693,1780
1694,2456
1696,407
1697,329
1698,1807
1699,283
1703,98
1704,1554
1705,1041
1711,1738
1717,145
1718,2051
1719,450
1721,1387
1725,2026
1727,132
1731,1935
1732,1466
1733,1036
1734,1523
1735,1173
1736,1489
1742,923
1743,1718
1744,1348
1747,535
1749,1061
1751,1431
1753,309
1754,1827
1756,2358
1757,1124
1761,466
1763,2088
1764,489
1765,173
1766,523
1767,2122
1770,1427
1771,41
1772,1077
1773,1562
1777,431
1778,2030
1783,1309
1784,574
1786,124
1787,16
1788,1020
1789,1470
1790,1923
1792,1866
1797,1535
1798,1722
1799,1372
1800,1688
1801,1667
1802,1237
1804,333
1805,299
1806,763
1807,2362
1810,1958
1811,626
1814,2159
1815,558
1816,1325
1818,1775
1819,1260
1822,1149
1823,734
1826,671
1827,2270
1829,1763
1831,1333
1833,958
1835,688
1840,1919
1843,667
1847,1364
1849,1221
1850,1671
1851,1558
1854,2374
1856,325
1858,630
1861,2113
1862,142
1863,1695
1864,841
1870,1103
1871,1553
1872,1800
1873,284
1876,1945
1879,1416
1881,1338
1882,1768
1883,1292
1887,2451
1888,400
1890,1787
1891,953
1893,729
1894,683
1896,1857
1897,379
1898,1504
1899,1154
1903,396
1904,1912
1911,945
1914,416
1917,1512
1920,695
1921,1904
1924,1007
1925,1457
1929,1729
1933,2410
1934,2040
1939,768
1941,338
1949,1953
1952,2191
1953,590
1954,969
1955,1247
1956,1617
1959,986
1963,1882
1965,206
1966,2312
1967,713
1970,1640
1971,894
1975,2129
1976,2083
1977,482
1979,1705
1982,2200
1983,601
1984,1586
1985,1139
1986,1569
1988,314
1990,744
1991,1990
1992,181
1993,1206
1994,928
1996,1656
1997,1343
2000,2095
2001,1590
2006,1986
2009,302
2010,1085
2012,1251
2013,586
2015,2168
2017,139
2022,1894
2023,640
2024,2241
2026,1178
2028,1528
2030,705
2032,288
2036,93
2039,267
2040,1949
2042,1699
2044,1226
2046,1676
2047,1158
2048,1508
2049,375
2055,2148
2056,549
2059,1334
2061,1271
2063,733
2064,699
2066,363
2069,1908
2070,226
2072,1772
2073,1288
2074,949
2075,1267
2076,1637
2079,85
2081,2365
2082,764
2083,271
2084,2220
2085,621
2086,508
2087,2109
2089,1725
2090,1375
2092,1230
2093,1924
2095,1027
2098,1498
2099,1532
2100,1861
2103,436
2105,2172
2107,123
2109,1420
2111,1070
2112,1973
2113,748
2114,2349
2115,318
2116,1836
2119,2430
2120,2060
2121,461
2122,932
2126,1709
2129,524
2131,1066
2133,1436
2135,1573
2138,924
2139,477
2140,2076
2144,2099
2146,162
2148,1461
2149,1031
2151,1932
2153,709
2154,1877
2155,359
2156,1524
2157,1174
2159,420
2160,2021
2161,973
2163,1318
2164,1748
2166,565
2174,1749
2175,134
2176,2165
2177,564
2178,1460
2179,1030
2181,1933
2182,708
2184,358
2187,1175
2190,476
2194,499
2195,2098
2198,1964
2201,1437
2204,1088
2205,1821
2207,460
2210,899
2211,876
2213,1708
2214,175
2216,2124
2217,1421
2218,47
2220,1972
2221,2348
2222,749
2223,1837
2225,1564
2227,964
2228,437
2229,2036
2231,572
2237,1026
2238,1476
2241,1533
2243,2108
2244,509
2246,1724
2247,1374
2249,1231
2252,84
2253,335
2254,765
2256,270
2257,620
2261,1289
2265,732
2266,2333
2267,2299
2269,362
2270,677
2271,2276
2274,548
2275,2149
2276,118
2277,1765
2280,1270
2282,1509
2288,661
2289,1362
2290,1698
2291,1732
2293,1227
2295,289
2299,92
2301,636
2302,1948
2303,266
2305,1895
2306,2240
2307,641
2308,1196
2309,1179
2310,1483
2313,2305
2314,704
2315,1600
2318,587
2320,2169
2321,138
2322,991
2323,1745
2325,1591
2326,2217
2328,1968
2329,246
2332,753
2333,303
2334,1084
2338,883
2339,1657
2341,1712
2342,2094
2343,495
2345,600
2347,1587
2349,1568
2350,1092
2351,315
2355,1641
2356,895
2359,2128
2360,529
2361,483
2362,2082
2364,1704
2365,1354
2367,657
2368,2256
2369,1883
2370,207
2371,1929
2372,712
2376,591
2382,1753
2384,293
2386,769
2389,88
2391,1114
2398,856
2400,1682
2401,1728
2403,505
2404,2104
2405,2411
2408,913
2409,1397
2411,1513
2414,2295
2418,1006
2419,1456
2420,552
2423,1285
2426,944
2427,1790
2428,417
2429,2016
2431,728
2432,2329
2434,682
2435,378
2436,1856
2439,1440
2443,1913
2444,1339
2445,817
2446,1769
2447,1293
2448,114
2453,401
2457,1552
2458,1801
2459,285
2461,790
2463,1047
2465,1417
2468,143
2469,1694
2472,905
2473,2057
2474,456
